"Marca de temps","Birthdate","Gender","Latest Education","GODSPEED 2: ANIMACY","GODSPEED 2: ANIMACY","GODSPEED 2: ANIMACY","GODSPEED 2: ANIMACY","GODSPEED 2: ANIMACY","GODSPEED 2: ANIMACY","GODSPEED 3: LIKEABILITY","GODSPEED 3: LIKEABILITY","GODSPEED 3: LIKEABILITY","GODSPEED 3: LIKEABILITY","GODSPEED 3: LIKEABILITY","GODSPEED 4: PERCEIVED INTELLIGENCE","GODSPEED 4: PERCEIVED INTELLIGENCE","GODSPEED 4: PERCEIVED INTELLIGENCE","GODSPEED 4: PERCEIVED INTELLIGENCE","GODSPEED 4: PERCEIVED INTELLIGENCE","GODSPEED 5: PERCEIVED SAFETY","GODSPEED 5: PERCEIVED SAFETY","GODSPEED 5: PERCEIVED SAFETY","Additional Feedback :)"
"2023/12/17 2:45:54 p. m. CET","2001-01-26","Male","Bachelor","3","3","2","3","3","4","5","4","4","4","4","4","4","3","4","3","5","4","2",""
"2023/12/18 2:03:42 p. m. CET","1999-05-20","Male","Master","1","1","1","1","1","1","4","4","4","4","3","2","2","1","1","2","5","4","2",""
"2023/12/19 1:57:22 p. m. CET","2002-09-10","Male","Bachelor","4","3","1","1","3","2","4","3","3","4","4","4","4","2","3","1","4","4","2",""
"2023/12/19 2:39:46 p. m. CET","2000-01-18","Male","Bachelor","2","1","1","2","3","2","4","3","3","4","4","1","2","3","1","3","4","5","2",""
"2023/12/19 7:14:13 p. m. CET","1997-08-25","Male","Bachelor","4","3","2","4","3","2","4","5","4","4","5","3","4","4","4","3","5","4","3",""
"2023/12/19 8:02:03 p. m. CET","2003-04-25","Female","Bachelor","1","2","2","3","3","3","4","4","3","4","3","3","3","3","2","3","2","2","3",""
"2023/12/19 8:47:53 p. m. CET","1971-09-22","Female","Master","4","4","3","3","3","3","4","4","4","4","4","3","3","3","3","3","4","4","3",""
"2023/12/20 10:07:42 a. m. CET","2000-03-12","Female","Bachelor","3","3","2","3","3","3","4","4","4","4","5","4","3","3","3","3","3","5","4",""
"2023/12/20 10:20:29 a. m. CET","2001-10-31","Male","Bachelor","2","3","3","2","3","3","4","4","4","4","4","4","4","4","3","3","4","4","4",""
"2023/12/21 6:42:21 p. m. CET","1998-07-10","Male","Bachelor","2","3","3","2","3","3","4","4","2","4","3","3","3","3","2","2","4","5","3",""
"2023/12/22 8:12:20 a. m. CET","1997-06-29","Male","Bachelor","3","2","1","1","2","1","1","2","3","3","2","3","1","3","3","3","4","3","2",""
"2023/12/22 9:44:54 a. m. CET","2000-01-28","Female","Bachelor","3","4","3","4","3","4","5","5","4","4","5","5","4","3","4","3","4","5","3",""
"2023/12/22 10:55:02 a. m. CET","1996-03-24","Male","Bachelor","4","4","3","2","4","3","4","5","5","4","4","3","4","2","3","2","5","5","4",""
"2023/12/22 3:13:25 p. m. CET","1998-12-08","Male","Master","4","4","1","4","5","5","4","5","3","5","5","3","1","1","4","2","4","4","5","Thanks"
"2023/12/23 11:49:21 a. m. CET","1972-03-14","Male","Master","2","2","1","1","2","2","2","2","3","3","3","3","3","2","2","2","5","5","3",""
"2023/12/23 4:59:34 p. m. CET","2000-03-08","Male","Bachelor","4","3","1","2","3","3","2","1","1","3","2","3","2","1","4","3","3","2","4",""
"2023/12/27 2:29:16 p. m. CET","2002-04-16","Female","Bachelor","2","2","2","2","2","3","4","3","3","4","3","4","4","3","4","3","4","4","4",""
"2023/12/29 2:55:29 p. m. CET","2001-09-18","Male","Master","5","4","5","2","2","3","4","5","4","5","4","2","2","2","3","3","4","2","3",""
"2023/12/29 10:09:16 p. m. CET","1999-01-01","Male","Master","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","Bro... I can't answer accurately "
"2024/01/06 2:36:02 p. m. CET","2000-02-08","Male","Master","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",""
"2024/01/06 3:30:41 p. m. CET","2001-08-31","Male","Master","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",""
