"Marca de temps","Birthdate","Gender","Latest Education","GODSPEED 2: ANIMACY","GODSPEED 2: ANIMACY","GODSPEED 2: ANIMACY","GODSPEED 2: ANIMACY","GODSPEED 2: ANIMACY","GODSPEED 2: ANIMACY","GODSPEED 3: LIKEABILITY","GODSPEED 3: LIKEABILITY","GODSPEED 3: LIKEABILITY","GODSPEED 3: LIKEABILITY","GODSPEED 3: LIKEABILITY","GODSPEED 4: PERCEIVED INTELLIGENCE","GODSPEED 4: PERCEIVED INTELLIGENCE","GODSPEED 4: PERCEIVED INTELLIGENCE","GODSPEED 4: PERCEIVED INTELLIGENCE","GODSPEED 4: PERCEIVED INTELLIGENCE","GODSPEED 5: PERCEIVED SAFETY","GODSPEED 5: PERCEIVED SAFETY","GODSPEED 5: PERCEIVED SAFETY","Additional Feedback :)"
"2023/12/18 1:54:40 p. m. CET","1999-05-20","Male","Master","1","2","2","1","1","2","2","4","4","3","3","3","1","1","1","1","5","4","2",""
"2023/12/19 2:15:36 p. m. CET","2000-01-18","Male","Bachelor","1","2","1","1","1","2","4","3","3","3","4","2","3","2","1","3","5","4","3",""
"2023/12/19 2:27:38 p. m. CET","2002-10-09","Male","Bachelor","4","4","4","2","2","2","4","4","2","4","4","1","2","4","2","1","4","4","2",""
"2023/12/19 7:24:00 p. m. CET","1997-08-25","Male","Bachelor","3","2","2","3","2","3","4","4","4","4","4","2","4","3","2","3","4","4","4",""
"2023/12/19 8:19:18 p. m. CET","1971-09-22","Female","Master","4","4","3","2","3","3","4","4","4","4","4","3","3","3","3","4","4","4","3",""
"2023/12/19 8:37:49 p. m. CET","2003-04-25","Female","Bachelor","3","2","3","2","3","3","4","4","3","3","4","3","3","3","3","3","3","3","3",""
"2023/12/20 9:59:21 a. m. CET","2000-03-12","Female","Bachelor","2","2","2","3","3","3","3","2","2","3","3","3","4","2","2","1","3","5","4",""
"2023/12/20 10:34:57 a. m. CET","2001-10-31","Male","Bachelor","3","4","3","3","3","3","4","4","4","4","4","3","3","4","3","3","4","4","3",""
"2023/12/21 6:49:51 p. m. CET","1998-07-10","Male","Bachelor","3","2","3","4","4","4","4","3","2","3","4","3","3","1","3","3","4","3","3",""
"2023/12/22 8:03:55 a. m. CET","1997-06-29","Male","Bachelor","4","3","2","1","2","1","1","2","3","2","3","3","1","2","3","3","3","4","2",""
"2023/12/22 9:53:38 a. m. CET","2000-01-28","Female","Bachelor","4","3","3","3","4","3","5","4","5","4","4","3","4","3","3","2","5","5","4","some random jokes"
"2023/12/22 10:45:45 a. m. CET","1996-03-24","Male","Bachelor","3","4","2","2","3","4","5","5","4","5","4","3","4","2","3","3","4","5","4","reminds me a little bit of a Mechanical Spongebob :D "
"2023/12/22 3:21:06 p. m. CET","1998-12-08","Male","Master","4","4","1","1","5","4","5","4","2","4","3","2","1","1","3","2","4","5","3","Thanks"
"2023/12/23 11:40:20 a. m. CET","1972-03-14","Male","Master","2","2","1","1","2","2","1","2","3","3","3","3","1","2","1","1","5","5","3",""
"2023/12/23 5:15:01 p. m. CET","2000-03-08","Male","Bachelor","3","3","1","2","4","4","4","4","4","4","4","3","3","2","3","2","3","4","3",""
"2023/12/27 1:54:02 p. m. CET","2002-04-16","Female","Bachelor","1","2","2","2","2","3","3","3","3","3","3","4","4","3","4","3","4","4","4",""
"2023/12/29 10:10:28 a. m. CET","2001-09-29","Male","Master","3","4","2","2","2","2","4","4","4","4","4","4","3","3","4","2","5","5","2","stop asking for webcam lmao"
"2023/12/29 10:22:28 a. m. CET","2001-09-29","Male","Master","4","3","2","3","2","2","4","4","3","4","4","4","3","3","3","2","4","4","2","I did A this time"
"2023/12/29 3:03:49 p. m. CET","2001-09-18","Male","Master","5","4","5","3","4","2","4","5","4","4","4","2","1","2","1","1","4","4","3",""
"2024/01/06 2:30:00 p. m. CET","2000-02-08","Male","Master","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",""
"2024/01/06 3:34:09 p. m. CET","2001-08-31","Male","Master","2","2","1","2","1","2","3","2","2","3","3","2","2","1","2","1","3","2","3",""
